"track","category","method","config_id","mean_abs_error_coef","mean_ci_cover_coef","mean_runtime_sec","stability_coef_sd"
"Empirical","Distributed","One-step","K10",1.19493304140406e-12,1,0.268240958452225,6.79976676594345e-14
"Empirical","Distributed","SAE","K20",0.000572515594181755,1,0.324031502008438,0.000423990839807578
"Empirical","Distributed","SAE","K5",0.000148708269411879,1,0.23122850060463,0.000183368971340374
"Empirical","Mini-batch","SGD","bs256",0.122679646016385,0,918.329027473927,0.234281422031719
"Empirical","Mini-batch","SGD","bs64",0.0929245531324384,0,4031.80941337347,0.116229121182309
"Empirical","Subsampling","BLB","g0.7_s10_B120",0.0171418694151989,1,9.26263815164566,0.0191918455120076
"Empirical","Subsampling","SRS","frac0.05",0.0388224172137143,0,0.00961136817932129,0.0431652312240912
"Empirical","Subsampling","Stratified","frac0.10",0.0256840085172357,0.125,0.0185321271419525,0.0302816930765039
"Simulation","Distributed","One-step","K10",0.00568635713521051,1,0.0826802253723145,4.55829274744901e-16
"Simulation","Distributed","SAE","K20",0.00562531204089724,1,0.107121050357819,0.000757894351820873
"Simulation","Distributed","SAE","K5",0.00553714367665006,1,0.0475494563579559,0.00041756351761409
"Simulation","Mini-batch","SGD","bs256",0.00687201452380626,1,9.24466863274574,0.00330468207379969
"Simulation","Mini-batch","SGD","bs64",0.00959492797908551,0.625,28.755957365036,0.0087339666627175
"Simulation","Subsampling","BLB","g0.7_s10_B120",0.015608659979081,1,5.1804319024086,0.0157960779689461
"Simulation","Subsampling","SRS","frac0.05",0.0305722637575645,0.875,0.00286334753036499,0.0427900111705754
"Simulation","Subsampling","Stratified","frac0.10",0.0163917231058269,1,0.00288316607475281,0.0141672646364451
