"track","category","method","config_id","rep","runtime_sec","sample_accesses","memory_mb","mean_estimate","mean_abs_error","mean_ci_cover","mean_ci_width","coef_estimate","coef_abs_error","coef_ci_cover","coef_ci_width","mse","r2"
"Simulation","Distributed","SAE","K5",1,0.03537917137146,40000,0.001373291015625,2.59101122219187,4.44089209850063e-16,1,0.0586066307262962,0.804812933679559,0.00481293367955937,1,0.0246547017654699,1.09042525710602,0.698475486345401
"Simulation","Distributed","SAE","K5",2,0.0363149642944336,40000,0.001373291015625,2.59101122219187,0,1,0.0475435933574637,0.805243788645439,0.00524378864543851,1,0.0425415653849557,1.09042509005701,0.698475532537812
"Simulation","Distributed","SAE","K5",3,0.0401079654693604,40000,0.001373291015625,2.59101122219187,4.44089209850063e-16,1,0.0278751754930848,0.805739295487502,0.00573929548750207,1,0.0278445511196648,1.09042496155205,0.698475568072018
"Simulation","Distributed","SAE","K5",4,0.0393140316009521,40000,0.001373291015625,2.59101122219187,0,1,0.0335109442662276,0.805206512265213,0.00520651226521285,1,0.0288941719563454,1.09042524617192,0.698475489368899
"Simulation","Distributed","SAE","K5",5,0.0259950160980225,40000,0.001373291015625,2.59101122219187,0,1,0.0663235785016481,0.806130714664592,0.00613071466459225,1,0.031365704734613,1.09042519423757,0.698475503729791
"Simulation","Distributed","SAE","K5",6,0.0259478092193604,40000,0.001373291015625,2.59101122219187,0,1,0.0434705797673471,0.805708842559254,0.00570884255925375,1,0.0258238246663693,1.09042468004928,0.698475645913194
"Simulation","Distributed","SAE","K5",7,0.040349006652832,40000,0.001373291015625,2.59101122219187,0,1,0.0137402649269376,0.805779940631777,0.00577994063177678,1,0.0197271626057933,1.09042472860121,0.698475632487609
"Simulation","Distributed","SAE","K5",8,0.0254030227661133,40000,0.001373291015625,2.59101122219187,4.44089209850063e-16,1,0.0194606277405498,0.805675121479865,0.00567512147986493,1,0.0208405498228519,1.09042474733833,0.69847562730642
"Simulation","Distributed","SAE","K20",1,0.0850949287414551,40000,0.00240325927734375,2.59101122219187,0,1,0.0408652545572599,0.804382848304471,0.00438284830447089,1,0.0358856206582601,1.09042685099823,0.698475045602148
"Simulation","Distributed","SAE","K20",2,0.0561268329620361,40000,0.00240325927734375,2.59101122219187,0,1,0.0393745250931996,0.806240743112025,0.0062407431120246,1,0.0368233144940047,1.09042516849348,0.698475510848549
"Simulation","Distributed","SAE","K20",3,0.0596749782562256,40000,0.00240325927734375,2.59101122219187,0,1,0.0348944217717824,0.804617451424558,0.00461745142455772,1,0.0286464465670155,1.09042718045622,0.698474954500389
"Simulation","Distributed","SAE","K20",4,0.0616259574890137,40000,0.00240325927734375,2.59101122219187,0,1,0.0435043949413725,0.805886777684229,0.00588677768422852,1,0.0355199473871757,1.09042667975175,0.698475092955245
"Simulation","Distributed","SAE","K20",5,0.0641071796417236,40000,0.00240325927734375,2.59101122219187,0,1,0.0338641094335896,0.805698015994253,0.00569801599425268,1,0.0230199165364451,1.09042534179901,0.698475462926085
"Simulation","Distributed","SAE","K20",6,0.063723087310791,40000,0.00240325927734375,2.59101122219187,0,1,0.023267585131058,0.806590316374171,0.00659031637417107,1,0.0251624131848971,1.09042572616907,0.698475356640034
"Simulation","Distributed","SAE","K20",7,0.0578060150146484,40000,0.00240325927734375,2.59101122219187,0,1,0.0342960832742234,0.805689887822098,0.00568988782209834,1,0.0200229089370736,1.09042549196741,0.698475421401503
"Simulation","Distributed","SAE","K20",8,0.0485711097717285,40000,0.00240325927734375,2.59101122219187,0,1,0.0491742943565416,0.805896455611374,0.00589645561137409,1,0.0286955270183826,1.09042553219341,0.698475410278204
"Simulation","Distributed","One-step","K10",1,0.100675106048584,42500,0.00171661376953125,2.59101122219187,0,1,0.0372733252017756,0.805686357135211,0.00568635713521082,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Distributed","One-step","K10",2,0.0531768798828125,42500,0.00171661376953125,2.59101122219187,0,1,0.0372733252017756,0.805686357135211,0.0056863571352106,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Distributed","One-step","K10",3,0.0603330135345459,42500,0.00171661376953125,2.59101122219187,0,1,0.0372733252017756,0.80568635713521,0.00568635713520971,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Distributed","One-step","K10",4,0.0566470623016357,42500,0.00171661376953125,2.59101122219187,0,1,0.0372733252017756,0.805686357135211,0.00568635713521093,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Distributed","One-step","K10",5,0.0738430023193359,42500,0.00171661376953125,2.59101122219187,0,1,0.0372733252017756,0.80568635713521,0.00568635713521004,1,0.0256276943184266,1.09042459649679,0.69847566901714
